Best solution in generation 424 is:  f(x) = 33.0
Best solution in generation 425 is:  f(x) = 33.0
Best solution in generation 426 is:  f(x) = 33.0
Best solution in generation 427 is:  f(x) = 33.0
Best solution in generation 428 is:  f(x) = 33.0
Best solution in generation 429 is:  f(x) = 33.0
Best solution in generation 430 is:  f(x) = 33.0
Best solution in generation 431 is:  f(x) = 33.0
Best solution in generation 432 is:  f(x) = 33.0
Best solution in generation 433 is:  f(x) = 33.0
Best solution in generation 434 is:  f(x) = 33.0
Best solution in generation 435 is:  f(x) = 33.0
Best solution in generation 436 is:  f(x) = 33.0
Best solution in generation 437 is:  f(x) = 33.0
Best solution in generation 438 is:  f(x) = 33.0
Best solution in generation 439 is:  f(x) = 33.0
Best solution in generation 440 is:  f(x) = 33.0
Best solution in generation 441 is:  f(x) = 33.0
Best solution in generation 442 is:  f(x) = 33.0
Best solution in generation 443 is:  f(x) = 33.0
Best solution in generation 444 is:  f(x) = 33.0
Best solution in generation 445 is:  f(x) = 33.0
Best solution in generation 446 is:  f(x) = 33.0
Best solution in generation 447 is:  f(x) = 33.0
Best solution in generation 448 is:  f(x) = 33.0
Best solution in generation 449 is:  f(x) = 33.0
Best solution in generation 450 is:  f(x) = 33.0
Best solution in generation 451 is:  f(x) = 33.0
Best solution in generation 452 is:  f(x) = 33.0
Best solution in generation 453 is:  f(x) = 33.0
Best solution in generation 454 is:  f(x) = 33.0
Best solution in generation 455 is:  f(x) = 33.0
Best solution in generation 456 is:  f(x) = 33.0
Best solution in generation 457 is:  f(x) = 33.0
Best solution in generation 458 is:  f(x) = 33.0
Best solution in generation 459 is:  f(x) = 33.0
Best solution in generation 460 is:  f(x) = 33.0
Best solution in generation 461 is:  f(x) = 33.0
Best solution in generation 462 is:  f(x) = 33.0
Best solution in generation 463 is:  f(x) = 33.0
Best solution in generation 464 is:  f(x) = 33.0
Best solution in generation 465 is:  f(x) = 33.0
Best solution in generation 466 is:  f(x) = 33.0
Best solution in generation 467 is:  f(x) = 33.0
Best solution in generation 468 is:  f(x) = 33.0
Best solution in generation 469 is:  f(x) = 33.0
Best solution in generation 470 is:  f(x) = 33.0
Best solution in generation 471 is:  f(x) = 33.0
Best solution in generation 472 is:  f(x) = 33.0
Best solution in generation 473 is:  f(x) = 33.0
Best solution in generation 474 is:  f(x) = 33.0
Best solution in generation 475 is:  f(x) = 33.0
Best solution in generation 476 is:  f(x) = 33.0
Best solution in generation 477 is:  f(x) = 33.0
Best solution in generation 478 is:  f(x) = 33.0
Best solution in generation 479 is:  f(x) = 33.0
Best solution in generation 480 is:  f(x) = 33.0
Best solution in generation 481 is:  f(x) = 33.0
Best solution in generation 482 is:  f(x) = 33.0
Best solution in generation 483 is:  f(x) = 33.0
Best solution in generation 484 is:  f(x) = 33.0
Best solution in generation 485 is:  f(x) = 33.0
Best solution in generation 486 is:  f(x) = 33.0
Best solution in generation 487 is:  f(x) = 33.0
Best solution in generation 488 is:  f(x) = 33.0
Best solution in generation 489 is:  f(x) = 33.0
Best solution in generation 490 is:  f(x) = 33.0
Best solution in generation 491 is:  f(x) = 33.0
Best solution in generation 492 is:  f(x) = 33.0
Best solution in generation 493 is:  f(x) = 33.0
Best solution in generation 494 is:  f(x) = 33.0
Best solution in generation 495 is:  f(x) = 33.0
Best solution in generation 496 is:  f(x) = 33.0
Best solution in generation 497 is:  f(x) = 33.0
Best solution in generation 498 is:  f(x) = 33.0
Best solution in generation 499 is:  f(x) = 33.0
Best solution in generation 500 is:  f(x) = 33.0
Best solution in generation 501 is:  f(x) = 33.0
Best solution in generation 502 is:  f(x) = 33.0
Best solution in generation 503 is:  f(x) = 33.0
Best solution in generation 504 is:  f(x) = 33.0
Best solution in generation 505 is:  f(x) = 33.0
Best solution in generation 506 is:  f(x) = 33.0
Best solution in generation 507 is:  f(x) = 33.0
Best solution in generation 508 is:  f(x) = 33.0
